2023-05-15 20:03:09,595 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-05-15 20:03:09,611 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-05-15 20:03:09,611 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-05-15 20:03:09,611 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-05-15 20:03:09,622 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-05-15 20:03:09,622 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-05-15 20:03:09,622 INFO  SwAddin.cs: 201 - Setting up command manager
2023-05-15 20:03:09,622 INFO  SwAddin.cs: 204 - Adding command manager
2023-05-15 20:03:09,622 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-05-15 20:03:09,627 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-05-15 20:03:09,627 INFO  SwAddin.cs: 210 - Adding event handlers
2023-05-15 20:03:09,627 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-05-15 20:09:54,489 INFO  SwAddin.cs: 294 - Assembly export called for file schunk_25nnb
2023-05-15 20:09:58,279 INFO  SwAddin.cs: 313 - Saving assembly
2023-05-15 20:09:58,412 INFO  SwAddin.cs: 316 - Opening property manager
2023-05-15 20:09:58,421 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from schunk_25nnb
2023-05-15 20:09:58,436 INFO  ExportHelperExtension.cs: 1136 - Found 29 in schunk_25nnb
2023-05-15 20:09:58,436 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in schunk_25nnb
2023-05-15 20:09:58,436 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-05-15 20:09:58,436 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2023-05-15 20:09:58,447 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_link-1
2023-05-15 20:09:58,447 INFO  ExportHelperExtension.cs: 1136 - Found 28 in base_link-1
2023-05-15 20:09:58,447 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base_link-1
2023-05-15 20:09:58,447 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from left_link-1
2023-05-15 20:09:58,447 INFO  ExportHelperExtension.cs: 1136 - Found 29 in left_link-1
2023-05-15 20:09:58,447 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in left_link-1
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from right_link-1
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1136 - Found 29 in right_link-1
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in right_link-1
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from schunk_25nnb
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1136 - Found 29 in schunk_25nnb
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in schunk_25nnb
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base_link-1
2023-05-15 20:09:58,452 INFO  ExportHelperExtension.cs: 1136 - Found 28 in base_link-1
